CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2010
"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"120033 Mâncio Lima";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;9;-;-;-;1;-;-;1;-;-;-;-;-;17
"120034 Manoel Urbano";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;5
"120035 Marechal Thaumaturgo";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;6
"120038 Plácido de Castro";-;-;-;-;7;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;13
"120080 Porto Acre";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;8
"120039 Porto Walter";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;5
"120040 Rio Branco";-;1;1;-;74;1;36;191;1;2;4;5;-;1;4;-;3;-;-;3;1;30;1;-;-;-;2;-;361
"120042 Rodrigues Alves";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"120043 Santa Rosa do Purus";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;1;-;-;6
"120050 Sena Madureira";-;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;1;-;-;2;-;-;15
"120045 Senador Guiomard";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;13
"120060 Tarauacá";-;-;-;-;8;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;1;-;-;1;-;-;14
"120070 Xapuri";-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;9
"130002 Alvarães";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130008 Anamã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130010 Anori";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;3
"130014 Apuí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;6
"130020 Atalaia do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130030 Autazes";-;-;1;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;12
"130040 Barcelos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;1;-;-;5
"130050 Barreirinha";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;4
"130060 Benjamin Constant";-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;11
"130063 Beruri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130068 Boa Vista do Ramos";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;4
"130070 Boca do Acre";-;-;-;-;-;-;1;5;-;-;-;-;-;-;-;5;-;-;-;-;-;1;1;1;-;-;-;-;14
"130080 Borba";-;-;1;-;9;1;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;1;1;-;-;-;-;18
"130083 Caapiranga";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"130090 Canutama";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"130100 Carauari";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;6
"130110 Careiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;7
"130115 Careiro da Várzea";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;1;-;-;11
"130120 Coari";-;-;1;-;13;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;17
"130130 Codajás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;1;-;-;-;-;8
"130140 Eirunepé";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"130150 Envira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;4
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;1;-;-;5
"130165 Guajará";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"130170 Humaitá";-;-;-;-;6;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;1;-;-;-;-;15
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;1;-;-;7
"130185 Iranduba";-;-;1;-;9;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;12
"130190 Itacoatiara";-;-;-;-;11;1;1;2;-;-;-;1;-;-;3;-;-;-;-;1;-;2;1;-;-;-;-;-;23
"130195 Itamarati";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130200 Itapiranga";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;5
"130210 Japurá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"130220 Juruá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130230 Jutaí";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"130240 Lábrea";-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"130250 Manacapuru";-;-;1;-;14;1;-;3;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;1;-;-;-;-;24
"130255 Manaquiri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;4
"130260 Manaus";-;-;3;-;231;3;151;435;17;3;23;19;-;1;34;19;6;3;6;7;-;86;2;-;-;1;1;-;1051
"130270 Manicoré";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"130280 Maraã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;6
"130290 Maués";-;-;-;-;6;1;2;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;1;-;-;-;-;15
"130300 Nhamundá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;1;-;-;-;-;14
"130310 Nova Olinda do Norte";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;-;-;-;13
"130320 Novo Airão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;9
"130330 Novo Aripuanã";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"130340 Parintins";-;-;1;-;12;1;2;2;-;1;-;2;-;-;5;-;-;-;-;1;-;5;2;-;-;-;1;-;35
"130350 Pauini";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;8
"130353 Presidente Figueiredo";-;-;-;-;9;-;-;-;-;-;-;1;-;-;-;11;-;-;-;1;-;-;1;1;-;-;-;-;24
