CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2011
"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"130014 Apuí";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;1;-;-;-;-;9
"130020 Atalaia do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130030 Autazes";-;-;-;1;-;12;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;-;-;-;18
"130040 Barcelos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;1;-;1;-;-;7
"130050 Barreirinha";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;5
"130060 Benjamin Constant";-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;11
"130063 Beruri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;4
"130068 Boa Vista do Ramos";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;4
"130070 Boca do Acre";-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;10
"130080 Borba";-;-;-;1;-;9;1;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;17
"130083 Caapiranga";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"130090 Canutama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;4
"130100 Carauari";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;8
"130110 Careiro";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8;-;-;-;1;-;-;-;1;-;-;-;-;11
"130115 Careiro da Várzea";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;10
"130120 Coari";-;-;-;1;-;13;-;-;-;-;-;-;1;-;1;2;-;-;-;-;1;-;-;1;-;1;-;-;-;21
"130130 Codajás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;1;-;-;-;-;8
"130140 Eirunepé";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;6
"130150 Envira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;4
"130160 Fonte Boa";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;4
"130165 Guajará";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;1;-;-;-;-;7
"130170 Humaitá";-;-;-;1;-;7;-;1;4;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;1;-;-;-;-;18
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;6
"130185 Iranduba";-;-;-;1;-;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;16
"130190 Itacoatiara";-;-;-;-;-;14;1;1;3;-;-;-;1;-;-;3;-;-;-;-;1;1;2;1;-;-;-;-;-;28
"130195 Itamarati";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130200 Itapiranga";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;6
"130210 Japurá";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;6
"130220 Juruá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"130230 Jutaí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"130240 Lábrea";-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"130250 Manacapuru";-;-;-;1;-;14;1;-;3;-;1;-;-;-;1;1;4;-;-;-;1;-;-;-;1;-;-;-;-;28
"130255 Manaquiri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;3
"130260 Manaus";-;-;-;2;-;234;3;160;464;18;3;22;19;-;1;36;19;5;3;6;8;-;91;2;-;-;1;5;-;1102
"130270 Manicoré";-;-;-;1;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;9
"130280 Maraã";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;1;-;-;1;-;-;-;-;7
"130290 Maués";-;-;-;1;-;6;1;2;-;-;-;-;-;-;-;-;10;-;-;-;1;-;-;1;1;-;-;-;-;23
"130300 Nhamundá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;1;-;-;-;-;14
"130310 Nova Olinda do Norte";-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;1;1;-;-;-;-;13
"130320 Novo Airão";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;9
"130330 Novo Aripuanã";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;6
"130340 Parintins";-;-;-;1;-;13;1;3;2;-;1;-;2;-;-;5;-;-;-;-;1;-;5;2;-;-;-;1;-;37
"130350 Pauini";-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;9
"130353 Presidente Figueiredo";-;-;-;-;-;9;-;-;1;-;-;-;1;-;-;-;12;-;-;-;1;-;-;1;1;-;-;-;-;26
"130356 Rio Preto da Eva";-;-;-;1;-;8;-;1;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;15
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;1;1;1;-;-;-;-;8
"130370 Santo Antônio do Içá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"130380 São Gabriel da Cachoeira";-;-;-;1;-;1;-;2;2;-;-;-;2;-;-;-;10;-;-;-;1;1;1;1;1;-;-;-;-;23
"130390 São Paulo de Olivença";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;1;-;-;-;-;9
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;1;1;-;-;-;-;6
"130400 Silves";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;7
"130406 Tabatinga";-;-;-;-;-;8;1;1;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;15
"130410 Tapauá";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;7
"130420 Tefé";-;-;-;1;-;8;2;3;9;-;1;1;1;-;1;1;5;-;-;-;1;1;3;1;-;-;-;-;-;39
"130423 Tonantins";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3
"130426 Uarini";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"130430 Urucará";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;1;-;-;-;-;7
"130440 Urucurituba";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;2;-;-;-;-;6
"140005 Alto Alegre";-;-;-;-;-;2;1;1;-;-;-;-;1;-;-;-;8;-;-;-;-;13;-;1;1;-;-;-;-;28
"140002 Amajari";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;4;-;2;-;-;-;-;-;22
