CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2017
"Município";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"240920 Passagem";1;-;-;-;1;2;-;-;-;1;1;-;1;-;-;-;-;-;7
"240930 Patu";3;-;-;6;6;4;2;-;1;2;4;-;1;-;-;-;-;1;30
"240940 Pau dos Ferros";10;7;8;16;64;16;5;6;4;10;35;5;9;1;3;-;10;4;213
"240950 Pedra Grande";-;-;-;-;4;-;-;-;2;1;2;-;1;-;-;-;-;-;10
"240960 Pedra Preta";-;-;-;-;4;-;-;1;2;1;1;-;1;-;-;-;-;-;10
"240970 Pedro Avelino";1;2;-;1;5;1;1;-;3;1;4;-;1;-;-;-;-;-;20
"240980 Pedro Velho";1;-;-;3;11;-;1;-;4;2;6;1;2;-;-;-;-;1;32
"240990 Pendências";2;-;-;2;8;1;-;-;1;1;6;-;1;-;-;-;-;3;25
"241000 Pilões";1;1;-;1;2;1;-;-;-;2;2;-;-;-;-;-;-;-;10
"241010 Poço Branco";-;3;-;3;8;-;-;1;3;1;6;-;-;-;-;-;1;-;26
"241020 Portalegre";-;-;-;1;1;-;-;-;1;-;4;-;-;-;-;-;-;-;7
"241025 Porto do Mangue";2;1;-;2;2;1;1;-;1;2;1;-;2;-;-;-;-;-;15
"241040 Pureza";1;-;-;3;4;1;-;-;3;1;3;-;1;-;-;-;-;-;17
"241050 Rafael Fernandes";1;1;-;1;2;1;-;-;1;1;1;-;1;-;-;-;-;-;10
"241060 Rafael Godeiro";-;-;-;1;5;1;1;-;-;1;1;-;-;-;-;-;-;-;10
"241070 Riacho da Cruz";-;1;-;-;3;1;-;-;2;1;1;-;-;-;-;-;-;-;9
"241080 Riacho de Santana";1;-;-;-;3;-;-;-;2;1;2;-;1;-;-;-;-;-;10
"241090 Riachuelo";1;1;-;1;5;2;1;-;1;1;6;-;1;-;-;-;-;-;20
"240895 Rio do Fogo";2;2;1;3;11;1;1;-;2;-;7;1;1;-;-;-;1;-;33
"241100 Rodolfo Fernandes";-;2;-;1;5;1;1;-;-;2;2;-;-;-;-;-;-;-;14
"241110 Ruy Barbosa";-;1;-;4;3;1;-;-;-;-;5;-;1;-;-;-;-;-;15
"241120 Santa Cruz";17;24;1;4;74;33;3;10;6;17;23;17;19;-;2;-;37;11;298
"240933 Santa Maria";1;2;-;1;5;2;-;-;1;1;2;-;1;-;-;-;-;-;16
"241140 Santana do Matos";3;-;-;5;8;2;1;-;4;1;7;-;1;-;-;-;-;-;32
"241142 Santana do Seridó";1;1;-;1;3;1;1;-;-;1;-;-;-;-;-;-;-;-;9
"241150 Santo Antônio";5;1;3;4;30;6;3;1;7;4;17;8;5;1;1;-;1;6;103
"241160 São Bento do Norte";-;-;-;1;2;1;1;-;-;1;1;-;-;-;-;-;-;-;7
"241170 São Bento do Trairí";-;-;-;2;4;1;-;-;-;2;2;-;-;-;-;-;-;-;11
"241180 São Fernando";1;-;-;-;3;-;-;-;2;1;3;-;1;-;-;-;-;-;11
"241190 São Francisco do Oeste";-;-;-;-;2;1;-;-;2;1;2;-;1;-;-;-;-;-;9
"241200 São Gonçalo do Amarante";7;5;-;9;28;10;2;2;26;8;39;1;4;-;1;-;2;3;147
"241210 São João do Sabugi";1;1;-;1;3;1;-;-;2;-;2;-;1;-;-;-;-;1;13
"241220 São José de Mipibu";12;3;-;6;40;10;6;5;16;9;25;12;10;1;2;-;3;2;162
"241230 São José do Campestre";3;1;-;3;10;2;1;-;3;2;10;-;2;-;-;-;-;1;38
"241240 São José do Seridó";-;-;-;1;6;1;-;-;-;1;2;-;2;-;-;-;-;1;14
"241250 São Miguel";1;1;1;4;11;3;1;-;3;1;5;-;1;-;-;-;-;1;33
"241255 São Miguel do Gostoso";1;-;-;7;7;1;-;-;4;1;3;-;1;-;1;-;-;-;26
"241260 São Paulo do Potengi";5;3;-;5;11;5;1;-;6;4;13;2;3;-;-;-;-;2;60
"241270 São Pedro";-;-;-;-;5;1;1;-;1;2;3;-;1;-;-;-;-;-;14
"241280 São Rafael";1;1;-;1;5;2;1;-;1;1;4;-;1;-;-;-;1;1;20
"241290 São Tomé";-;2;-;3;8;2;1;-;2;1;4;-;1;-;1;-;-;1;26
"241300 São Vicente";1;1;-;-;7;1;-;-;1;-;4;-;1;-;-;-;-;-;16
"241310 Senador Elói de Souza";1;1;-;2;2;3;1;-;-;1;2;-;2;-;-;-;-;-;15
"241320 Senador Georgino Avelino";-;-;-;-;3;1;-;-;2;1;1;-;-;-;-;-;-;-;8
"241030 Serra Caiada";1;-;-;4;7;1;1;-;3;1;5;-;1;1;-;-;-;-;25
"241330 Serra de São Bento";-;1;-;2;4;1;-;-;-;1;3;-;1;-;-;-;-;-;13
"241335 Serra do Mel";1;-;-;1;4;-;1;-;1;1;3;-;-;1;-;-;-;1;14
"241340 Serra Negra do Norte";1;-;-;1;4;1;-;-;2;2;1;-;-;-;-;-;-;1;13
"241350 Serrinha";1;-;-;-;2;2;-;-;2;1;3;-;1;1;-;-;-;-;13
"241355 Serrinha dos Pintos";1;1;-;2;3;2;-;-;-;1;2;-;-;-;-;-;-;1;13
"241360 Severiano Melo";1;1;-;2;8;2;-;-;1;1;3;-;-;-;-;-;-;-;19
"241370 Sítio Novo";-;-;-;1;5;-;-;-;-;1;3;-;-;-;-;-;-;-;10
"241380 Taboleiro Grande";-;1;-;-;2;-;-;-;1;-;2;-;1;-;-;-;-;-;7
"241390 Taipu";2;1;-;2;6;1;1;-;3;1;4;-;-;-;-;-;-;1;22
"241400 Tangará";-;1;-;2;9;1;-;-;5;1;7;-;2;-;-;-;-;1;29
"241410 Tenente Ananias";2;-;-;-;7;2;1;-;3;1;5;-;-;-;-;-;-;-;21
"241415 Tenente Laurentino Cruz";-;-;-;-;7;1;-;-;2;1;2;-;-;-;-;-;-;-;13
"241105 Tibau";1;-;-;2;12;2;-;-;1;4;4;-;1;-;-;-;-;-;27
"241420 Tibau do Sul";1;1;-;1;11;3;1;-;4;3;4;-;1;-;-;-;-;-;30
"241430 Timbaúba dos Batistas";1;1;-;-;2;1;-;-;1;-;1;-;1;-;-;-;-;1;9
"241440 Touros";4;1;-;19;28;5;-;-;11;4;14;1;3;-;-;-;-;2;92
"241445 Triunfo Potiguar";1;-;-;1;3;1;-;-;-;1;1;-;-;-;-;-;-;1;9
"241450 Umarizal";-;-;-;-;9;2;-;-;3;1;5;-;1;-;-;-;1;-;22
"241460 Upanema";1;-;-;-;7;2;-;-;1;1;7;-;-;-;-;-;-;1;20
"241470 Várzea";1;-;-;-;2;-;-;-;3;1;2;-;1;-;-;-;-;-;10
"241475 Venha-Ver";-;-;-;1;2;2;1;-;1;1;2;-;-;-;-;-;-;-;10
"241480 Vera Cruz";3;1;-;1;11;2;1;-;3;5;7;-;2;-;-;-;1;1;38
"241490 Viçosa";1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;5
"241500 Vila Flor";-;-;-;1;1;1;-;-;1;1;2;-;1;-;-;-;-;-;8
"250010 Água Branca";1;1;-;5;13;3;1;1;3;2;5;-;2;1;-;-;1;4;43
"250020 Aguiar";2;1;-;9;12;2;1;-;1;2;6;1;2;1;-;-;-;2;42
"250030 Alagoa Grande";1;2;-;13;30;4;1;-;6;2;10;-;2;-;-;-;-;1;72
"250040 Alagoa Nova";1;1;-;8;20;6;1;1;6;1;9;-;1;-;-;-;3;2;60
"250050 Alagoinha";1;1;-;2;9;1;2;-;6;1;7;1;2;1;-;-;2;1;37
"250053 Alcantil";2;1;1;1;7;2;-;-;-;1;3;-;1;-;1;-;6;1;27
"250057 Algodão de Jandaíra";1;1;-;-;2;2;-;-;-;1;1;-;1;-;-;-;-;-;9
"250060 Alhandra";4;1;-;14;29;5;1;-;7;2;15;1;2;1;-;-;3;-;85
"250073 Amparo";1;-;-;1;-;2;-;-;1;1;3;-;1;-;-;-;-;-;10
"250077 Aparecida";1;-;-;1;2;1;-;-;1;1;6;-;1;-;-;-;-;1;15
"250080 Araçagi";2;2;-;1;8;4;1;-;3;1;8;-;3;1;-;-;1;2;37
"250090 Arara";1;1;-;9;16;4;-;-;2;1;4;-;1;1;1;-;-;-;41
"250100 Araruna";2;2;-;7;19;3;1;1;5;1;11;1;3;1;1;-;1;3;62
"250110 Areia";-;-;-;4;21;2;1;-;7;1;11;1;2;1;-;-;2;1;54
"250115 Areia de Baraúnas";-;1;-;1;2;1;1;-;-;1;1;-;-;-;-;-;-;1;9
"250120 Areial";-;-;-;-;3;1;1;-;1;2;4;-;1;-;-;-;-;1;14
"250130 Aroeiras";2;1;-;7;14;3;1;-;8;2;14;1;3;-;2;-;-;2;60
"250135 Assunção";1;-;-;-;2;3;-;1;2;1;2;-;1;-;-;-;-;-;13
"250140 Baía da Traição";1;1;-;1;12;1;-;-;2;2;5;-;1;-;-;-;-;-;26
"250150 Bananeiras";1;4;-;6;19;3;2;1;6;2;14;1;4;1;1;-;6;2;73
"250153 Baraúna";-;1;-;-;4;1;1;-;2;-;2;-;1;-;-;-;1;1;14
"250160 Barra de Santa Rosa";2;4;-;1;17;2;1;-;2;1;3;-;2;1;-;-;1;1;38
"250157 Barra de Santana";2;1;-;-;10;5;-;-;3;2;5;-;3;1;-;-;-;3;35
"250170 Barra de São Miguel";-;-;-;-;3;3;-;-;3;1;2;-;-;-;-;-;-;-;12
"250180 Bayeux";17;8;-;20;87;19;9;18;17;9;44;22;15;3;5;-;15;2;310
"250190 Belém";3;2;2;5;16;7;2;-;6;3;13;2;4;-;-;-;2;3;70
"250200 Belém do Brejo do Cruz";2;-;1;4;10;4;1;-;1;1;3;-;1;-;1;-;2;3;34
"250205 Bernardino Batista";1;1;-;1;8;2;-;-;2;1;3;-;1;-;1;-;-;-;21
"250210 Boa Ventura";1;1;-;-;7;1;-;-;2;1;2;-;1;-;-;-;1;1;18
"250215 Boa Vista";1;-;-;3;11;2;-;-;1;-;6;-;1;1;-;-;-;1;27
"250220 Bom Jesus";1;1;-;-;5;2;-;-;-;1;1;-;1;-;1;-;-;1;14
"250230 Bom Sucesso";1;1;-;3;6;2;1;-;-;1;2;-;1;1;-;-;-;2;21
"250240 Bonito de Santa Fé";1;2;1;3;13;3;-;-;3;-;5;-;2;-;-;-;-;2;35
"250250 Boqueirão";3;2;-;8;17;5;1;-;3;1;15;-;7;-;1;-;-;1;64
"250270 Borborema";-;-;-;-;3;1;1;-;-;1;1;-;1;-;-;-;-;-;8
"250280 Brejo do Cruz";2;1;-;4;17;5;1;-;1;3;16;-;1;-;-;-;-;3;54
"250290 Brejo dos Santos";-;-;-;-;3;-;-;-;1;-;4;-;-;-;-;-;-;1;9
"250300 Caaporã";2;-;-;11;27;3;1;-;6;3;13;1;4;1;-;-;2;3;77
"250310 Cabaceiras";1;1;-;2;4;3;-;-;2;1;2;-;1;-;-;-;-;-;17
"250320 Cabedelo";32;10;5;28;103;43;8;12;16;32;41;27;35;10;4;1;35;2;444
"250330 Cachoeira dos Índios";1;2;-;2;7;2;-;-;2;1;8;-;1;-;1;-;1;-;28
"250340 Cacimba de Areia";1;1;-;1;2;4;-;-;1;-;1;-;2;-;-;-;-;2;15
"250350 Cacimba de Dentro";1;-;-;5;15;2;1;-;4;2;7;-;1;-;-;-;-;-;38
"250355 Cacimbas";-;1;-;1;2;2;-;-;2;1;3;-;-;-;1;-;-;1;14
"250360 Caiçara";1;1;-;1;7;2;-;-;2;1;2;-;3;-;-;-;-;-;20
"250370 Cajazeiras";26;19;14;44;112;41;3;14;15;10;39;10;18;1;4;-;30;14;414
"250375 Cajazeirinhas";-;-;-;1;3;1;1;-;2;1;4;1;-;-;-;-;1;-;15
"250380 Caldas Brandão";-;-;-;-;3;3;-;-;1;1;5;-;1;-;-;-;-;2;16
"250390 Camalaú";-;-;-;-;6;2;-;-;1;1;4;-;1;-;-;-;-;-;15
"250400 Campina Grande";159;76;40;245;667;293;36;51;62;74;240;110;173;16;44;-;478;79;2843
"250403 Capim";1;-;-;2;5;2;-;-;2;1;-;-;1;1;-;-;-;1;16
"250407 Caraúbas";-;-;-;-;5;1;-;-;3;1;2;-;-;-;-;-;-;-;12
"250410 Carrapateira";-;1;-;-;1;1;-;-;1;-;1;-;1;-;-;-;-;-;6
"250415 Casserengue";1;-;-;-;1;3;-;1;2;1;3;-;2;-;-;-;1;-;15
"250420 Catingueira";-;-;-;-;7;3;-;-;3;1;3;-;1;-;2;-;-;3;23
"250430 Catolé do Rocha";8;2;-;23;56;16;5;4;3;5;17;1;10;-;2;-;7;9;168
"250435 Caturité";1;1;-;-;3;1;-;-;2;2;3;-;1;-;-;-;-;-;14
"250440 Conceição";3;1;1;4;28;6;3;-;4;1;10;1;3;2;1;-;-;4;72
"250450 Condado";-;-;-;-;3;4;1;-;2;1;8;1;1;-;-;-;-;1;22
"250460 Conde";2;2;1;1;25;10;5;-;8;6;13;2;9;1;-;-;-;3;88
"250470 Congo";1;1;-;-;3;1;1;-;1;1;5;-;3;-;-;-;-;-;17
"250480 Coremas";4;1;2;5;17;7;-;1;1;1;11;2;2;1;1;-;1;3;60
"250485 Coxixola";-;-;-;1;2;1;-;-;1;1;1;-;1;-;-;-;-;-;8
"250490 Cruz do Espírito Santo";1;-;-;-;7;3;1;-;6;2;5;-;3;1;-;-;2;1;32
"250500 Cubati";1;1;-;-;2;2;1;-;2;1;4;-;-;-;-;-;-;-;14
"250510 Cuité";5;1;-;9;25;4;1;-;4;4;12;-;3;-;2;-;2;5;77
"250523 Cuité de Mamanguape";-;-;-;2;5;2;-;-;1;1;3;-;1;-;-;-;-;-;15
"250520 Cuitegi";1;-;-;-;5;3;1;-;-;2;5;-;1;-;-;-;-;1;19
"250527 Curral de Cima";2;-;-;1;6;1;-;-;2;1;2;-;1;-;-;-;-;-;16
"250530 Curral Velho";1;-;-;-;2;1;-;-;-;2;1;-;1;-;-;-;-;-;8
"250535 Damião";1;2;-;1;2;1;-;-;1;2;2;-;-;-;-;-;-;-;12
"250540 Desterro";2;1;-;4;7;1;-;-;1;1;3;1;2;1;-;-;-;1;25
"250560 Diamante";1;1;-;1;6;3;-;-;1;1;5;-;2;-;-;-;-;2;23
"250570 Dona Inês";1;1;-;3;11;3;1;-;3;1;8;-;2;-;-;-;1;2;37
"250580 Duas Estradas";-;-;-;-;3;3;1;-;1;1;2;-;1;-;-;-;1;-;13
"250590 Emas";-;-;-;-;1;2;1;-;1;-;1;-;1;-;-;-;-;-;7
"250600 Esperança";5;1;-;13;28;12;2;-;4;4;21;1;4;1;-;-;-;3;99
"250610 Fagundes";-;1;-;-;3;-;-;-;-;-;4;-;1;-;-;-;-;-;9
"250620 Frei Martinho";-;-;-;1;6;1;-;-;1;-;1;-;-;-;-;-;-;-;10
"250625 Gado Bravo";1;1;-;-;3;3;1;-;2;1;4;-;1;-;-;-;-;1;18
"250630 Guarabira";12;8;3;35;99;23;9;8;11;8;38;11;24;1;4;-;30;6;330
"250640 Gurinhém";-;1;-;6;11;3;1;-;3;1;7;-;2;-;-;-;-;-;35
"250650 Gurjão";-;-;-;-;5;3;1;-;2;1;4;-;-;-;-;-;-;-;16
"250660 Ibiara";1;1;-;1;12;2;-;-;2;1;3;-;2;-;-;-;-;-;25
"250260 Igaracy";1;2;-;1;6;1;1;-;1;1;5;-;1;-;-;-;-;1;21
"250670 Imaculada";-;1;-;2;6;2;-;-;4;1;5;-;1;-;-;-;-;1;23
"250680 Ingá";2;-;-;2;17;4;1;-;7;1;13;-;1;-;-;-;-;2;50
"250690 Itabaiana";6;-;2;10;42;8;1;3;5;4;16;2;8;-;1;-;5;6;119
"250700 Itaporanga";6;4;1;7;40;13;2;-;3;3;15;-;6;2;1;-;2;10;115
"250710 Itapororoca";2;1;-;2;10;6;1;1;7;2;6;1;2;-;1;-;1;1;44
"250720 Itatuba";1;-;-;-;10;1;-;-;4;-;6;-;-;1;-;-;-;1;24
"250730 Jacaraú";2;1;-;1;12;3;1;-;4;1;6;-;4;1;-;-;-;2;38
"250740 Jericó";2;1;-;1;6;1;-;-;-;-;8;-;1;-;-;-;-;2;22
"250750 João Pessoa";388;198;107;401;1641;620;182;195;174;253;836;304;502;37;85;2;1040;225;7190
"251365 Joca Claudino";1;-;-;-;5;2;-;-;1;1;2;-;1;-;-;-;-;-;13
"250760 Juarez Távora";-;-;-;-;6;2;-;-;3;1;3;-;-;-;-;-;-;1;16
"250770 Juazeirinho";2;1;-;5;19;5;-;1;5;1;11;-;2;-;-;-;-;1;53
"250780 Junco do Seridó";1;-;-;2;5;3;-;-;2;1;2;-;-;-;-;-;-;-;16
"250790 Juripiranga";1;1;-;4;11;4;2;-;1;1;6;-;2;-;-;-;1;1;35
"250800 Juru";1;1;-;5;8;4;-;-;1;1;4;-;2;-;-;-;-;5;32
"250810 Lagoa";-;1;-;-;1;1;-;-;2;1;3;-;1;-;-;-;-;1;11
"250820 Lagoa de Dentro";-;1;-;4;8;3;-;-;-;1;3;1;1;-;-;-;-;-;22
"250830 Lagoa Seca";1;1;-;5;13;4;1;-;6;2;14;1;3;-;1;-;1;1;54
"250840 Lastro";1;-;-;1;5;2;1;-;-;1;2;-;2;-;1;-;1;-;17
"250850 Livramento";1;1;-;-;10;2;1;-;1;-;2;-;1;-;-;-;-;-;19
"250855 Logradouro";2;1;-;-;2;1;1;-;1;1;4;1;-;-;-;-;-;-;14
"250860 Lucena";1;1;-;5;10;4;1;-;2;3;6;-;4;1;-;-;-;-;38
"250870 Mãe d'Água";1;1;-;-;4;1;1;-;-;1;2;-;2;-;-;-;-;1;14
"250880 Malta";1;-;-;-;4;2;-;-;3;1;2;-;-;-;-;-;-;2;15
"250890 Mamanguape";11;6;1;18;78;14;2;-;11;8;25;6;10;2;-;-;2;9;203
"250900 Manaíra";1;-;-;3;8;3;-;-;3;1;2;-;1;-;1;-;-;2;25
"250905 Marcação";-;-;-;1;8;2;-;-;3;1;4;1;-;-;-;-;1;-;21
"250910 Mari";-;1;-;3;19;3;1;-;8;2;12;-;5;1;-;-;-;2;57
"250915 Marizópolis";2;1;1;-;3;2;-;-;2;-;5;-;1;-;-;-;3;2;22
"250920 Massaranduba";1;1;-;2;7;3;-;-;4;1;7;-;1;-;-;-;-;-;27
"250930 Mataraca";1;1;-;2;12;3;-;-;3;1;3;-;2;-;-;-;-;-;28
"250933 Matinhas";-;1;-;-;2;1;-;-;1;-;2;-;1;-;-;-;-;-;8
"250937 Mato Grosso";1;-;-;-;1;1;-;-;1;-;-;-;1;-;-;-;-;-;5
"250939 Maturéia";-;-;-;-;3;1;-;-;1;-;2;-;1;-;-;-;-;2;10
"250940 Mogeiro";-;-;-;1;10;1;1;-;4;2;12;-;1;-;-;-;-;1;33
"250950 Montadas";1;-;-;-;3;3;-;-;1;-;5;-;1;1;-;-;-;-;15
"250960 Monte Horebe";-;1;-;-;2;1;-;-;-;1;2;-;1;-;-;-;-;-;8
"250970 Monteiro";8;5;-;17;67;16;3;1;8;5;15;-;14;1;6;-;7;4;177
"250980 Mulungu";2;1;-;-;5;1;1;-;3;-;9;-;2;-;-;-;-;1;25
"250990 Natuba";1;-;-;4;7;2;1;-;3;1;5;-;1;-;-;-;-;-;25
"251000 Nazarezinho";1;1;-;1;5;1;-;-;3;1;3;-;-;-;-;-;-;-;16
"251010 Nova Floresta";2;-;-;1;9;-;1;-;2;1;1;-;1;-;-;-;-;-;18
"251020 Nova Olinda";1;-;-;1;7;1;1;-;2;1;1;-;1;-;-;-;-;-;16
"251030 Nova Palmeira";1;1;-;2;9;2;-;-;1;-;2;-;1;-;-;-;-;-;19
"251040 Olho d'Água";1;-;-;-;2;1;-;-;2;1;4;-;1;-;-;-;-;-;12
"251050 Olivedos";1;-;-;-;1;1;-;-;-;1;2;-;1;-;-;-;-;-;7
"251060 Ouro Velho";-;-;-;2;1;1;1;-;1;1;-;-;-;-;-;-;1;1;9
"251065 Parari";-;-;-;-;2;1;-;-;1;-;2;-;-;-;-;-;-;-;6
"251070 Passagem";1;1;-;-;-;1;-;-;1;1;1;-;1;-;-;-;-;-;7
"251080 Patos";39;23;7;49;245;59;7;10;20;23;98;12;31;2;6;-;33;39;703
"251090 Paulista";-;2;-;3;12;2;-;-;1;1;4;-;1;1;1;-;1;3;32
"251100 Pedra Branca";1;1;-;-;1;2;1;-;2;-;2;-;1;-;-;-;-;1;12
"251110 Pedra Lavrada";-;-;1;2;9;-;1;-;1;1;3;-;1;-;-;-;-;-;19
"251120 Pedras de Fogo";2;2;-;9;26;8;3;1;4;5;19;1;5;-;-;-;2;5;92
"251272 Pedro Régis";-;-;-;-;2;1;-;-;1;1;4;-;1;-;-;-;-;-;10
"251130 Piancó";28;5;-;23;65;21;2;-;5;3;14;1;10;-;-;-;3;18;198
"251140 Picuí";4;2;-;10;26;6;1;1;4;3;10;1;3;-;1;-;1;4;77
"251150 Pilar";3;1;-;2;8;2;-;-;4;1;8;-;2;1;-;-;1;1;34
"251160 Pilões";1;1;-;-;4;2;-;-;2;-;6;-;-;-;-;-;-;-;16
"251170 Pilõezinhos";-;-;-;-;3;1;-;-;-;1;4;-;-;-;-;-;-;1;10
"251180 Pirpirituba";1;1;-;-;2;1;1;-;2;1;-;-;1;-;-;-;-;-;10
"251190 Pitimbu";1;1;-;3;9;1;1;-;3;1;6;1;4;-;-;-;-;-;31
"251200 Pocinhos";1;1;-;3;13;3;-;-;5;2;7;-;1;-;-;-;-;3;39
"251203 Poço Dantas";1;-;-;-;2;-;-;-;1;-;2;-;1;-;-;-;-;-;7
"251207 Poço de José de Moura";-;-;-;-;3;2;1;-;2;1;2;-;1;-;-;-;-;-;12
"251210 Pombal";10;7;-;17;78;12;3;-;9;4;18;-;7;1;-;-;8;5;179
"251220 Prata";1;-;-;-;3;1;-;-;2;1;5;1;1;-;-;-;-;4;19
"251230 Princesa Isabel";6;2;1;22;47;9;2;-;6;5;18;4;8;-;1;-;4;10;145
"251240 Puxinanã";1;-;-;-;6;3;1;1;3;1;4;-;1;-;-;-;1;-;22
"251250 Queimadas";8;4;-;2;38;12;1;-;6;3;17;1;10;-;-;-;1;3;106
"251260 Quixabá";1;-;-;-;1;1;-;-;1;-;1;-;1;-;-;-;-;1;7
"251270 Remígio";2;1;-;8;18;5;-;-;4;1;13;1;2;-;-;-;-;-;55
"251274 Riachão";1;-;-;-;5;2;1;-;2;-;2;-;1;-;-;-;-;-;14
"251275 Riachão do Bacamarte";-;1;-;-;1;2;-;-;1;1;3;-;1;-;-;-;-;-;10
"251276 Riachão do Poço";-;1;-;-;2;-;-;-;2;1;2;-;-;-;-;-;-;-;8
"251278 Riacho de Santo Antônio";1;-;-;-;5;1;-;-;1;1;-;-;1;-;-;-;-;-;10
"251280 Riacho dos Cavalos";1;-;-;2;8;2;1;-;2;-;2;-;1;1;-;-;-;1;21
"251290 Rio Tinto";2;-;-;3;19;5;-;-;5;1;14;-;5;-;-;-;-;-;54
"251300 Salgadinho";1;1;-;-;-;1;1;-;1;1;1;-;-;-;-;-;-;-;7
"251310 Salgado de São Félix";2;1;-;1;5;3;-;-;6;2;5;-;1;-;-;-;-;2;28
"251315 Santa Cecília";-;1;-;-;4;1;-;-;3;1;2;-;1;-;-;-;-;-;13
"251320 Santa Cruz";-;-;-;1;7;2;-;-;2;1;5;-;1;-;-;-;-;1;20
"251330 Santa Helena";1;2;-;-;3;4;-;-;1;1;5;-;1;-;-;-;-;1;19
"251335 Santa Inês";1;1;-;-;3;1;-;-;2;1;1;-;1;-;-;-;-;-;11
"251340 Santa Luzia";7;1;-;11;27;6;1;1;4;5;10;-;6;-;-;-;2;5;86
"251370 Santa Rita";18;3;4;19;96;19;4;-;19;6;44;3;10;-;-;1;10;6;262
"251380 Santa Teresinha";2;-;-;-;4;2;-;-;2;-;1;-;2;-;-;-;-;2;15
"251350 Santana de Mangueira";-;-;-;-;6;-;-;-;2;1;2;-;-;-;-;-;-;-;11
"251360 Santana dos Garrotes";-;-;-;1;2;1;-;-;2;-;3;-;1;-;-;-;-;1;11
"251385 Santo André";-;1;-;-;4;1;-;-;2;1;1;-;-;-;-;-;-;1;11
"251392 São Bentinho";-;1;-;-;2;1;1;-;1;-;4;-;1;-;-;-;-;1;12
"251390 São Bento";2;2;1;7;30;7;2;1;3;5;21;1;8;1;1;-;5;5;102
"251396 São Domingos";1;-;-;-;1;2;-;-;1;-;3;-;-;-;-;-;-;1;9
"251394 São Domingos do Cariri";-;-;-;1;2;-;-;-;1;-;2;-;-;-;-;-;-;-;6
"251398 São Francisco";1;-;-;1;2;-;1;-;1;1;1;1;1;-;-;-;-;1;11
"251400 São João do Cariri";1;-;-;-;3;2;-;-;2;1;3;-;2;-;-;-;-;1;15
"250070 São João do Rio do Peixe";2;3;-;3;18;2;-;1;4;1;7;-;2;1;-;-;1;1;46
"251410 São João do Tigre";1;1;-;-;4;1;-;-;-;-;5;-;-;-;-;-;-;-;12
"251420 São José da Lagoa Tapada";-;3;1;-;6;1;-;-;2;1;3;-;1;-;-;-;-;-;18
"251430 São José de Caiana";1;-;-;1;2;1;-;-;-;-;1;-;1;-;-;-;1;1;9
"251440 São José de Espinharas";2;1;-;-;2;3;1;-;1;1;2;-;1;-;-;-;-;-;14
"251450 São José de Piranhas";2;1;-;1;16;1;1;-;6;1;11;-;2;1;-;-;-;1;44
"251455 São José de Princesa";-;-;-;-;2;2;-;-;2;1;2;-;2;-;-;-;-;1;12
"251460 São José do Bonfim";1;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;-;-;5
"251465 São José do Brejo do Cruz";1;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;5
"251470 São José do Sabugi";-;2;-;1;6;1;-;-;2;-;3;-;1;-;-;-;-;-;16
"251480 São José dos Cordeiros";-;-;-;-;2;1;-;-;1;1;2;-;1;-;-;-;-;-;8
"251445 São José dos Ramos";1;1;-;1;3;-;-;-;1;-;2;-;1;-;-;-;-;1;11
"251490 São Mamede";1;-;-;6;9;1;-;-;1;1;5;-;-;-;1;-;1;-;26
"251500 São Miguel de Taipu";1;1;-;1;5;1;-;-;1;-;1;1;1;-;-;-;-;-;13
"251510 São Sebastião de Lagoa de Roça";1;1;-;-;7;2;-;-;1;-;5;1;3;-;-;-;1;1;23
"251520 São Sebastião do Umbuzeiro";-;-;-;-;2;1;-;-;2;-;3;-;-;-;-;-;-;1;9
"251540 São Vicente do Seridó";-;-;-;1;11;2;1;-;3;1;5;-;1;-;-;-;-;1;26
"251530 Sapé";10;-;-;24;49;9;4;-;12;4;21;-;9;-;-;-;2;4;148
"251550 Serra Branca";1;2;-;7;12;5;1;-;2;2;6;-;2;-;-;-;-;3;43
"251560 Serra da Raiz";1;1;-;-;3;1;-;-;-;1;1;-;1;-;-;-;-;-;9
"251570 Serra Grande";1;-;-;-;8;-;-;-;1;-;3;-;-;-;-;-;-;1;14
"251580 Serra Redonda";-;1;-;1;4;2;-;-;-;-;5;-;-;-;-;-;-;-;13
"251590 Serraria";-;1;-;2;12;1;1;-;-;2;-;-;-;-;-;-;-;-;19
"251593 Sertãozinho";-;1;-;-;1;2;1;-;2;1;2;-;1;-;-;-;-;-;11
"251597 Sobrado";1;-;-;1;4;3;-;-;-;2;5;-;-;-;-;-;-;-;16
"251600 Solânea";3;2;-;4;26;4;1;-;6;2;19;1;2;-;-;-;-;3;73
"251610 Soledade";2;1;-;3;14;2;1;-;3;1;8;1;3;-;-;-;-;1;40
