"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"330490 SAO GONCALO";"64,07";"76,70";"72,90";"60,50";"73,60";"88,80";"45,73";"64,92";"78,79";"85,63";"68,55"
"330500 SAO JOAO DA BARRA";"101,11";"118,04";"105,87";"88,42";"90,08";"92,98";"39,10";"72,68";"112,35";"101,32";"86,84"
"330510 SAO JOAO DE MERITI";"69,83";"85,70";"83,00";"65,78";"69,63";"92,69";"48,69";"72,58";"58,97";"32,47";"66,72"
"330513 SAO JOSE DE UBA";"72,52";"63,45";"58,10";"65,40";"89,76";"89,47";"59,47";"87,68";"106,89";"64,24";"74,93"
"330515 SAO JOSE DO VALE DO RIO PRETO";"67,53";"71,91";"71,39";"91,25";"88,10";"101,71";"68,21";"89,27";"95,75";"81,43";"81,12"
"330520 SAO PEDRO DA ALDEIA";"68,88";"83,23";"84,24";"75,10";"71,53";"89,67";"49,21";"81,96";"23,25";"28,30";"62,66"
"330530 SAO SEBASTIAO DO ALTO";"92,58";"95,71";"79,45";"70,41";"101,14";"110,47";"35,49";"85,70";"44,20";"52,36";"76,44"
"330540 SAPUCAIA";"67,94";"97,51";"96,76";"77,84";"87,04";"123,92";"51,78";"98,24";"75,46";"72,69";"81,42"
"330550 SAQUAREMA";"72,93";"102,96";"100,63";"76,74";"73,95";"103,52";"64,97";"80,51";"71,28";"33,10";"75,42"
"330555 SEROPEDICA";"75,97";"88,00";"89,82";"62,45";"95,09";"104,77";"44,56";"71,41";"70,81";"40,10";"72,33"
"330560 SILVA JARDIM";"105,67";"130,69";"75,09";"79,88";"114,86";"100,26";"63,86";"90,16";"81,17";"66,81";"89,96"
"330570 SUMIDOURO";"80,10";"49,78";"48,60";"70,52";"79,93";"84,12";"40,37";"69,50";"89,54";"74,42";"68,47"
"330575 TANGUA";"80,76";"103,18";"93,25";"51,99";"80,02";"74,43";"43,98";"72,53";"84,26";"62,28";"71,57"
"330580 TERESOPOLIS";"71,47";"76,84";"77,02";"70,22";"85,97";"88,78";"58,35";"76,35";"76,09";"73,40";"74,35"
"330590 TRAJANO DE MORAES";"77,88";"94,55";"92,95";"112,65";"112,94";"125,24";"46,51";"74,53";"92,18";"53,26";"82,23"
"330600 TRES RIOS";"74,71";"85,55";"71,72";"96,61";"105,50";"121,28";"45,69";"67,96";"85,74";"47,68";"78,23"
"330610 VALENCA";"75,98";"82,52";"68,06";"73,53";"90,74";"98,54";"46,23";"54,66";"75,17";"63,66";"71,93"
"330615 VARRE-SAI";"63,77";"75,85";"66,81";"66,52";"71,74";"62,29";"75,85";"97,22";"70,75";"69,45";"70,89"
"330620 VASSOURAS";"70,82";"86,36";"62,49";"59,86";"92,96";"103,30";"39,52";"91,25";"90,86";"57,98";"72,54"
"330630 VOLTA REDONDA";"63,12";"80,40";"70,71";"67,52";"83,91";"87,98";"53,82";"87,49";"77,64";"69,45";"72,50"
"350010 ADAMANTINA";"79,20";"92,39";"81,71";"72,06";"101,30";"110,22";"54,19";"79,63";"90,64";"86,01";"82,34"
"350020 ADOLFO";"68,36";"84,13";"87,22";"137,32";"112,58";"135,39";"50,68";"66,26";"96,78";"115,28";"88,80"
"350030 AGUAI";"66,53";"80,16";"74,95";"83,15";"90,94";"93,77";"82,71";"87,17";"57,64";"79,05";"79,10"
"350040 AGUAS DA PRATA";"71,88";"74,58";"77,25";"85,28";"106,81";"138,00";"62,88";"79,23";"87,84";"86,28";"83,82"
"350050 AGUAS DE LINDOIA";"66,93";"99,20";"82,19";"62,73";"77,94";"92,97";"46,70";"84,30";"88,38";"76,03";"74,92"
"350055 AGUAS DE SANTA BARBARA";"84,23";"135,19";"111,40";"61,63";"87,88";"124,01";"28,03";"61,52";"68,57";"80,00";"79,80"
"350060 AGUAS DE SAO PEDRO";"76,31";"50,00";"69,64";"121,95";"219,32";"114,76";"56,51";"60,57";"63,70";"57,18";"82,68"
"350070 AGUDOS";"79,43";"98,36";"85,22";"72,86";"106,26";"98,09";"64,78";"79,03";"86,91";"73,15";"82,82"
"350075 ALAMBARI";"75,67";"74,44";"78,87";"53,21";"121,44";"75,13";"11,99";"72,05";"60,71";"82,05";"69,20"
"350080 ALFREDO MARCONDES";"85,04";"112,79";"110,61";"85,12";"98,84";"116,35";"94,35";"83,78";"94,32";"119,04";"98,32"
"350090 ALTAIR";"84,83";"96,22";"71,22";"84,73";"95,37";"110,38";"71,67";"93,60";"84,77";"74,40";"86,45"
"350100 ALTINOPOLIS";"74,38";"81,36";"70,06";"64,75";"104,83";"102,73";"60,81";"86,53";"90,04";"85,74";"80,86"
"350110 ALTO ALEGRE";"72,67";"72,53";"54,91";"89,53";"112,24";"87,42";"41,98";"128,78";"127,39";"57,28";"80,78"
"350115 ALUMINIO";"69,68";"68,78";"55,14";"72,74";"94,40";"90,52";"57,44";"54,54";"59,80";"62,52";"68,88"
"350120 ALVARES FLORENCE";"69,49";"122,00";"118,20";"79,71";"91,73";"109,49";"76,69";"90,28";"76,21";"90,25";"87,16"
"350130 ALVARES MACHADO";"76,08";"93,71";"85,24";"71,98";"81,59";"98,27";"67,92";"77,24";"86,58";"94,21";"82,29"
"350140 ALVARO DE CARVALHO";"91,35";"92,59";"77,67";"70,96";"91,74";"106,03";"50,00";"78,59";"68,30";"96,28";"81,79"
"350150 ALVINLANDIA";"78,73";"81,70";"57,79";"82,92";"137,13";"115,36";"44,58";"83,30";"107,71";"105,44";"87,33"
"350160 AMERICANA";"72,00";"94,77";"85,49";"81,25";"83,73";"109,61";"49,38";"75,01";"80,24";"77,30";"78,11"
"350170 AMERICO BRASILIENSE";"71,10";"82,39";"70,88";"77,68";"94,03";"97,60";"61,40";"104,24";"86,83";"100,20";"82,82"
"350180 AMERICO DE CAMPOS";"71,24";"74,86";"66,19";"83,27";"100,91";"137,00";"58,23";"70,29";"136,93";"129,29";"87,12"
"350190 AMPARO";"65,49";"81,90";"72,11";"70,57";"96,77";"90,83";"43,34";"71,24";"87,93";"82,01";"73,68"
"350200 ANALANDIA";"63,50";"72,52";"50,38";"67,75";"114,43";"131,43";"44,16";"83,15";"70,06";"77,22";"72,96"
"350210 ANDRADINA";"77,98";"97,73";"86,26";"76,45";"91,77";"101,99";"77,50";"76,04";"84,34";"87,06";"84,71"
"350220 ANGATUBA";"66,49";"74,22";"74,39";"70,89";"91,61";"121,91";"55,86";"68,47";"68,60";"70,67";"74,80"
"350230 ANHEMBI";"80,51";"106,85";"104,73";"84,04";"97,13";"113,37";"69,25";"72,70";"71,55";"82,02";"86,76"
"350240 ANHUMAS";"83,46";"110,03";"86,22";"96,14";"89,35";"108,26";"93,06";"135,33";"93,96";"88,69";"96,44"
"350250 APARECIDA";"81,68";"86,48";"71,00";"74,53";"92,20";"101,62";"37,86";"51,09";"53,24";"72,53";"71,77"
"350260 APARECIDA D\'OESTE";"80,05";"93,47";"94,62";"77,73";"118,60";"115,60";"77,70";"93,72";"88,14";"102,24";"92,05"
"350270 APIAI";"76,27";"90,55";"90,34";"67,66";"92,27";"126,47";"36,03";"52,52";"59,23";"61,13";"73,73"
"350275 ARACARIGUAMA";"76,32";"91,80";"84,11";"76,59";"108,68";"99,62";"59,46";"66,75";"95,83";"81,02";"82,46"
"350280 ARACATUBA";"79,27";"108,14";"96,23";"83,34";"95,52";"110,72";"44,19";"70,25";"81,06";"77,94";"81,32"
"350290 ARACOIABA DA SERRA";"72,89";"77,84";"61,92";"59,32";"76,68";"69,16";"42,83";"47,85";"45,03";"79,22";"62,62"
"350300 ARAMINA";"80,62";"94,03";"72,59";"71,54";"145,33";"102,56";"75,37";"101,08";"88,63";"62,63";"86,91"
"350310 ARANDU";"72,71";"81,96";"64,20";"87,39";"121,98";"123,19";"77,50";"108,32";"115,05";"69,75";"90,13"
"350315 ARAPEI";"109,14";"101,30";"98,00";"132,07";"132,61";"175,70";"71,70";"65,96";"89,95";"121,22";"107,59"
"350320 ARARAQUARA";"66,39";"94,69";"87,26";"82,14";"90,66";"103,37";"54,17";"87,37";"99,59";"87,14";"81,66"
"350330 ARARAS";"70,99";"82,62";"77,62";"74,55";"84,47";"104,36";"37,83";"67,35";"82,66";"85,20";"73,05"
"350335 ARCO-IRIS";"71,04";"94,77";"103,53";"121,74";"88,26";"180,32";"76,61";"69,65";"90,15";"92,74";"93,84"
"350340 AREALVA";"76,72";"89,83";"66,93";"63,84";"116,14";"128,80";"64,77";"92,72";"63,52";"95,95";"83,29"
"350350 AREIAS";"64,41";"79,14";"56,70";"93,76";"141,77";"120,65";"54,77";"64,16";"63,17";"101,02";"83,68"
"350360 AREIOPOLIS";"95,18";"108,72";"79,54";"67,55";"127,03";"115,20";"16,19";"79,37";"82,03";"77,79";"82,08"
"350370 ARIRANHA";"76,84";"69,37";"74,40";"76,18";"94,32";"87,34";"42,83";"56,73";"80,45";"108,50";"75,12"
"350380 ARTUR NOGUEIRA";"76,76";"104,62";"98,57";"95,11";"95,66";"83,34";"37,18";"62,48";"64,15";"66,60";"75,67"
"350390 ARUJA";"79,41";"91,70";"81,49";"75,17";"93,95";"105,53";"86,85";"67,14";"70,63";"82,37";"83,61"
"350395 ASPASIA";"74,79";"79,86";"40,79";"65,45";"137,10";"166,15";"85,21";"78,95";"63,69";"74,60";"82,02"
"350400 ASSIS";"63,49";"82,36";"67,83";"73,22";"88,84";"110,99";"43,73";"68,68";"72,00";"69,28";"72,28"
"350410 ATIBAIA";"80,18";"95,48";"74,57";"80,37";"91,34";"98,58";"55,66";"83,30";"85,53";"74,45";"80,54"
"350420 AURIFLAMA";"77,86";"104,46";"95,40";"80,20";"98,69";"128,40";"55,20";"62,25";"67,37";"64,92";"80,85"
"350430 AVAI";"67,09";"83,17";"70,40";"87,70";"89,98";"86,30";"53,93";"82,31";"111,52";"75,04";"78,67"
"350440 AVANHANDAVA";"77,46";"104,62";"90,07";"59,60";"103,26";"118,32";"65,48";"153,12";"126,54";"82,62";"94,25"
"350450 AVARE";"70,91";"91,13";"86,69";"75,83";"100,89";"102,13";"53,50";"69,16";"81,49";"84,07";"79,81"
"350460 BADY BASSITT";"75,36";"64,42";"86,18";"81,48";"96,80";"101,38";"62,71";"61,61";"80,89";"85,16";"79,34"
"350470 BALBINOS";"85,12";"132,83";"121,36";"59,50";"115,22";"172,46";"68,28";"116,92";"89,22";"85,80";"100,51"
"350480 BALSAMO";"68,27";"69,60";"79,85";"80,22";"92,33";"99,90";"63,09";"94,29";"114,15";"95,63";"83,15"
"350490 BANANAL";"65,54";"51,31";"38,89";"56,48";"95,02";"71,50";"35,28";"62,45";"58,42";"70,51";"60,19"
"350500 BARAO DE ANTONINA";"72,64";"62,55";"58,53";"76,74";"124,15";"125,47";"66,49";"81,52";"100,48";"80,29";"81,99"
"350510 BARBOSA";"77,17";"98,50";"91,48";"84,60";"112,28";"126,09";"93,67";"178,46";"131,10";"72,84";"103,86"
"350520 BARIRI";"70,05";"97,74";"97,99";"88,00";"100,97";"104,54";"38,10";"37,36";"31,06";"77,83";"72,34"
"350530 BARRA BONITA";"69,93";"87,50";"77,02";"76,18";"93,99";"102,23";"71,40";"76,94";"73,54";"74,31";"79,39"
"350535 BARRA DO CHAPEU";"84,05";"120,91";"99,93";"86,62";"114,83";"124,60";"66,57";"98,59";"101,67";"83,48";"94,71"
"350540 BARRA DO TURVO";"85,07";"88,60";"77,80";"71,78";"108,37";"91,54";"54,94";"84,78";"85,96";"84,86";"82,58"
"350550 BARRETOS";"70,48";"86,41";"75,71";"77,78";"93,11";"110,14";"56,18";"76,20";"88,30";"73,27";"78,80"
"350560 BARRINHA";"86,95";"86,69";"77,95";"72,46";"75,98";"58,49";"67,90";"73,03";"73,82";"67,16";"74,25"
"350570 BARUERI";"76,60";"87,04";"84,12";"78,69";"89,07";"97,39";"77,04";"94,73";"81,36";"77,60";"83,90"
"350580 BASTOS";"76,09";"80,03";"73,00";"79,57";"110,72";"116,38";"63,13";"77,56";"87,37";"88,12";"83,90"
"350590 BATATAIS";"76,22";"86,58";"77,60";"76,36";"81,77";"81,03";"44,82";"63,81";"71,02";"50,21";"70,38"
"350600 BAURU";"71,12";"91,60";"89,54";"71,90";"86,54";"99,49";"47,55";"78,63";"91,39";"84,01";"77,78"
"350610 BEBEDOURO";"72,12";"94,67";"85,38";"80,63";"91,29";"124,01";"56,17";"83,34";"89,62";"76,31";"82,42"
"350620 BENTO DE ABREU";"88,47";"109,52";"92,50";"97,83";"95,94";"99,52";"47,92";"65,57";"73,13";"81,74";"83,61"
"350630 BERNARDINO DE CAMPOS";"71,84";"85,33";"71,23";"95,81";"110,69";"81,09";"57,91";"82,85";"91,17";"91,27";"82,22"
"350635 BERTIOGA";"82,07";"99,42";"82,52";"53,79";"88,76";"89,16";"54,86";"81,18";"61,64";"60,98";"73,61"
"350640 BILAC";"88,73";"164,44";"131,67";"61,11";"105,25";"189,46";"69,71";"50,00";"69,43";"67,35";"93,13"
"350650 BIRIGUI";"70,23";"92,33";"95,23";"81,41";"96,00";"88,08";"51,20";"72,60";"95,44";"82,50";"79,98"
"350660 BIRITIBA-MIRIM";"65,09";"82,21";"79,15";"57,10";"91,41";"106,08";"58,50";"71,54";"65,89";"76,82";"73,89"
"350670 BOA ESPERANCA DO SUL";"72,84";"87,34";"70,33";"71,96";"90,71";"103,27";"50,54";"67,20";"102,09";"86,78";"77,98"
"350680 BOCAINA";"74,91";"105,34";"96,59";"86,74";"99,23";"97,04";"30,26";"41,92";"61,44";"78,54";"72,89"
"350690 BOFETE";"75,29";"87,91";"72,82";"116,09";"112,31";"115,37";"66,81";"86,19";"96,75";"90,92";"90,02"
"350700 BOITUVA";"69,07";"84,67";"81,05";"74,03";"95,87";"99,98";"61,83";"73,34";"65,70";"68,68";"76,55"
"350710 BOM JESUS DOS PERDOES";"77,85";"91,41";"80,89";"77,29";"104,88";"104,04";"52,61";"82,45";"83,42";"78,48";"81,18"
"350715 BOM SUCESSO DE ITARARE";"71,52";"67,16";"66,85";"68,75";"98,72";"93,79";"46,25";"44,47";"76,09";"81,62";"69,84"
"350720 BORA";"90,91";"44,44";"96,49";"219,57";"60,10";"163,48";"44,44";"74,06";"91,54";"88,75";"82,03"
"350730 BORACEIA";"77,52";"88,37";"85,53";"94,91";"80,38";"97,19";"63,28";"96,01";"100,09";"68,30";"83,20"
"350740 BORBOREMA";"71,76";"92,87";"78,67";"93,95";"101,04";"131,60";"32,71";"58,53";"66,73";"69,20";"76,20"
"350745 BOREBI";"102,35";"162,50";"141,32";"83,62";"128,05";"164,35";"61,76";"73,97";"50,15";"9,04";"88,57"
"350750 BOTUCATU";"69,54";"82,75";"79,94";"74,19";"91,82";"114,29";"58,92";"74,25";"87,57";"87,97";"80,18"
"350760 BRAGANCA PAULISTA";"70,46";"88,03";"75,97";"73,38";"90,84";"110,40";"58,44";"92,02";"93,12";"84,75";"81,52"
"350770 BRAUNA";"70,95";"63,58";"56,67";"86,51";"107,76";"104,48";"57,40";"134,06";"73,86";"67,75";"79,86"
"350775 BREJO ALEGRE";"92,65";"134,98";"128,46";"89,50";"114,87";"116,26";"135,96";"218,01";"191,42";"81,81";"124,44"
"350780 BRODOWSKI";"79,21";"108,95";"97,09";"79,17";"103,86";"98,92";"45,80";"44,61";"76,29";"70,09";"77,15"
"350790 BROTAS";"75,73";"100,78";"94,36";"78,59";"96,47";"112,76";"59,44";"104,05";"99,31";"104,73";"89,36"
"350800 BURI";"67,84";"77,87";"65,79";"73,81";"84,38";"106,27";"56,80";"72,52";"91,78";"93,68";"77,59"
"350810 BURITAMA";"73,00";"75,97";"77,96";"80,95";"93,12";"96,32";"53,00";"47,98";"63,42";"83,92";"73,92"
"350820 BURITIZAL";"73,54";"92,16";"71,62";"84,78";"118,76";"100,09";"55,91";"88,02";"95,07";"92,48";"84,31"
"350830 CABRALIA PAULISTA";"69,94";"105,56";"108,07";"81,77";"82,33";"92,36";"94,73";"67,48";"68,49";"70,63";"82,92"
"350840 CABREUVA";"67,88";"78,91";"65,57";"74,14";"77,83";"100,12";"63,77";"70,00";"76,88";"72,96";"74,03"
"350850 CACAPAVA";"69,72";"79,98";"72,96";"69,52";"84,25";"94,03";"49,67";"64,94";"63,71";"67,15";"70,60"
"350860 CACHOEIRA PAULISTA";"77,57";"85,94";"78,47";"65,65";"78,66";"58,98";"45,12";"64,70";"68,65";"70,85";"68,91"
"350870 CACONDE";"73,55";"86,75";"74,98";"71,50";"97,42";"113,12";"65,60";"94,41";"94,35";"84,37";"83,51"
"350880 CAFELANDIA";"72,79";"104,08";"89,57";"68,13";"90,89";"80,21";"45,75";"69,16";"72,32";"73,98";"74,84"
"350890 CAIABU";"80,59";"118,48";"84,90";"65,14";"122,63";"90,85";"46,40";"54,08";"95,18";"103,95";"82,19"
"350900 CAIEIRAS";"78,53";"96,80";"81,66";"61,38";"101,04";"107,01";"52,54";"79,46";"75,25";"78,81";"79,32"
"350910 CAIUA";"92,37";"116,40";"88,05";"64,13";"59,04";"65,87";"37,01";"38,81";"61,77";"83,38";"70,17"
"350920 CAJAMAR";"75,63";"82,11";"78,73";"71,24";"88,98";"101,25";"31,59";"20,07";"29,85";"43,92";"60,87"
"350925 CAJATI";"69,85";"81,52";"79,36";"55,66";"82,33";"102,11";"48,57";"63,82";"56,01";"64,32";"68,75"
"350930 CAJOBI";"74,20";"87,83";"80,86";"70,13";"96,36";"114,45";"47,55";"77,46";"84,51";"76,47";"79,31"
"350940 CAJURU";"73,21";"84,33";"83,98";"67,86";"80,81";"96,72";"51,27";"66,55";"67,08";"62,73";"72,66"
"350945 CAMPINA DO MONTE ALEGRE";"89,57";"86,75";"102,36";"144,05";"115,90";"118,19";"60,63";"85,63";"113,11";"69,34";"95,93"
"350950 CAMPINAS";"66,67";"81,28";"73,60";"72,97";"88,60";"100,11";"53,65";"70,68";"83,33";"76,01";"74,61"
"350960 CAMPO LIMPO PAULISTA";"74,65";"87,59";"84,31";"73,53";"87,57";"107,12";"48,09";"66,29";"67,73";"71,73";"75,28"
"350970 CAMPOS DO JORDAO";"75,75";"89,55";"70,21";"68,19";"84,04";"104,08";"60,18";"82,73";"79,61";"83,32";"78,85"
"350980 CAMPOS NOVOS PAULISTA";"74,62";"80,12";"63,20";"94,75";"137,00";"102,38";"67,93";"91,10";"116,25";"76,10";"88,26"
"350990 CANANEIA";"68,47";"84,77";"77,20";"68,34";"101,79";"118,49";"62,55";"78,22";"86,54";"38,64";"76,76"
"350995 CANAS";"84,83";"94,89";"65,79";"65,85";"129,99";"88,21";"25,14";"45,87";"73,12";"58,78";"71,26"
"351000 CANDIDO MOTA";"71,24";"95,00";"81,66";"78,09";"98,72";"115,84";"112,18";"167,30";"96,50";"91,29";"97,95"
"351010 CANDIDO RODRIGUES";"72,50";"61,30";"55,54";"64,80";"181,25";"79,38";"66,60";"66,51";"82,42";"121,60";"79,87"
"351015 CANITAR";"92,60";"122,78";"101,50";"59,70";"106,18";"117,26";"105,57";"90,24";"91,13";"81,59";"95,40"
"351020 CAPAO BONITO";"76,15";"90,37";"83,01";"72,57";"92,78";"97,16";"74,72";"139,14";"98,77";"83,95";"88,95"
"351030 CAPELA DO ALTO";"66,08";"73,18";"76,67";"71,40";"84,80";"112,61";"53,55";"76,32";"64,69";"62,49";"72,47"
"351040 CAPIVARI";"84,00";"102,40";"100,60";"104,44";"111,56";"114,14";"49,91";"101,81";"94,28";"72,34";"90,68"
"351050 CARAGUATATUBA";"70,11";"80,06";"77,83";"76,61";"97,18";"109,28";"98,49";"144,84";"122,46";"124,72";"99,21"
"351060 CARAPICUIBA";"67,35";"77,80";"81,46";"63,70";"83,44";"87,15";"49,20";"74,31";"60,02";"65,94";"69,74"
"351070 CARDOSO";"68,32";"89,10";"95,42";"74,70";"113,70";"91,18";"46,62";"87,95";"79,88";"78,93";"80,14"
"351080 CASA BRANCA";"74,36";"85,78";"77,32";"72,06";"89,71";"118,90";"50,26";"75,75";"78,51";"52,48";"75,84"
"351090 CASSIA DOS COQUEIROS";"90,88";"137,83";"102,01";"155,90";"128,24";"144,57";"11,56";"113,69";"92,45";"85,01";"97,55"
"351100 CASTILHO";"66,58";"92,20";"92,85";"85,58";"104,65";"100,87";"57,68";"89,43";"113,16";"114,18";"88,02"
"351110 CATANDUVA";"82,03";"96,66";"91,46";"76,96";"96,16";"111,58";"56,91";"80,09";"86,26";"80,62";"83,93"
"351120 CATIGUA";"77,85";"66,85";"60,16";"84,31";"93,97";"113,09";"76,27";"68,62";"82,46";"74,91";"80,26"
"351130 CEDRAL";"76,04";"98,04";"84,75";"80,83";"101,87";"115,56";"61,15";"75,66";"78,15";"88,98";"83,69"
"351140 CERQUEIRA CESAR";"75,15";"93,74";"80,74";"86,18";"100,35";"118,15";"84,57";"63,71";"90,82";"95,70";"88,39"
"351150 CERQUILHO";"78,13";"94,26";"84,51";"77,29";"94,43";"111,49";"53,63";"132,88";"150,99";"154,32";"98,54"
"351160 CESARIO LANGE";"63,50";"79,68";"73,18";"70,70";"97,24";"112,99";"96,17";"130,61";"77,13";"72,63";"87,01"
"351170 CHARQUEADA";"70,49";"82,88";"70,74";"65,96";"92,78";"103,77";"55,85";"63,36";"75,29";"92,38";"75,59"
"351190 CLEMENTINA";"79,27";"88,27";"91,83";"87,49";"97,81";"103,25";"64,97";"82,25";"89,59";"64,23";"84,21"
"351200 COLINA";"80,94";"106,78";"92,95";"76,93";"106,05";"109,76";"63,20";"80,76";"92,29";"74,69";"86,91"
"351210 COLOMBIA";"73,38";"93,14";"78,79";"67,45";"102,13";"91,96";"68,21";"79,38";"73,46";"80,51";"79,99"
"351220 CONCHAL";"71,97";"77,40";"67,78";"73,78";"89,37";"97,26";"44,16";"71,94";"83,37";"87,54";"74,60"
"351230 CONCHAS";"75,40";"82,19";"68,55";"65,58";"93,91";"102,77";"62,17";"82,62";"88,04";"87,57";"79,61"
"351240 CORDEIROPOLIS";"66,73";"81,59";"68,97";"83,83";"100,70";"87,85";"55,36";"61,50";"71,58";"81,50";"74,38"
"351250 COROADOS";"80,88";"126,36";"125,35";"73,50";"98,99";"88,52";"77,59";"130,65";"127,51";"62,89";"94,40"
"351260 CORONEL MACEDO";"74,01";"85,24";"75,49";"70,23";"99,47";"127,98";"64,65";"82,76";"80,14";"125,07";"85,02"
"351270 CORUMBATAI";"69,77";"89,57";"71,64";"75,62";"97,95";"63,47";"69,11";"68,24";"86,71";"102,67";"77,92"
"351280 COSMOPOLIS";"73,17";"91,60";"79,90";"73,89";"80,44";"91,49";"32,27";"59,71";"81,42";"75,09";"71,27"
"351290 COSMORAMA";"71,26";"138,78";"114,23";"80,23";"110,88";"134,91";"86,92";"77,37";"131,10";"134,97";"102,10"
"351300 COTIA";"70,77";"84,65";"71,95";"66,70";"87,17";"91,11";"48,59";"72,64";"60,32";"63,63";"69,87"
"351310 CRAVINHOS";"86,53";"104,47";"87,36";"84,42";"95,62";"114,98";"29,22";"54,09";"49,42";"44,89";"73,27"
"351320 CRISTAIS PAULISTA";"77,77";"95,60";"90,92";"94,02";"134,25";"104,95";"8,97";"111,67";"78,56";"71,29";"82,33"
"351330 CRUZALIA";"71,01";"72,22";"76,84";"76,52";"71,27";"71,27";"96,23";"193,54";"84,18";"69,60";"83,08"
"351340 CRUZEIRO";"71,75";"88,53";"83,02";"67,68";"87,65";"106,35";"42,89";"59,68";"70,03";"68,69";"72,87"
"351350 CUBATAO";"82,75";"100,66";"89,96";"74,87";"82,39";"90,79";"43,64";"50,10";"62,30";"60,99";"72,42"
"351360 CUNHA";"80,06";"85,65";"75,28";"68,50";"93,21";"101,37";"54,75";"149,61";"74,75";"69,15";"82,45"
"351370 DESCALVADO";"68,26";"82,14";"72,31";"89,08";"96,20";"97,92";"58,30";"58,49";"72,25";"65,40";"75,70"
"351380 DIADEMA";"72,59";"82,48";"67,70";"71,57";"79,07";"90,03";"49,73";"71,36";"77,90";"75,83";"72,48"
"351385 DIRCE REIS";"57,89";"100,00";"85,09";"108,45";"178,93";"41,06";"37,31";"76,85";"64,44";"98,27";"74,51"
"351390 DIVINOLANDIA";"69,72";"86,88";"88,13";"55,06";"94,73";"82,70";"80,64";"87,20";"84,49";"90,74";"80,25"
"351400 DOBRADA";"71,96";"69,95";"62,85";"74,26";"91,19";"92,08";"61,66";"58,05";"74,91";"74,02";"72,75"
"351410 DOIS CORREGOS";"75,55";"99,69";"83,42";"75,95";"88,49";"91,92";"40,16";"60,67";"26,31";"44,99";"67,60"
"351420 DOLCINOPOLIS";"93,90";"66,67";"67,87";"91,58";"185,09";"74,35";"25,40";"48,78";"78,76";"74,67";"77,22"
"351430 DOURADO";"68,40";"57,80";"62,45";"151,84";"119,92";"115,32";"53,07";"91,14";"55,95";"54,69";"78,15"
"351440 DRACENA";"72,59";"96,01";"77,21";"65,05";"90,47";"116,52";"53,12";"82,24";"80,50";"86,76";"79,32"
"351450 DUARTINA";"73,02";"99,96";"81,60";"76,48";"95,54";"116,14";"43,90";"48,15";"86,91";"79,96";"77,98"
"351460 DUMONT";"80,03";"91,80";"84,07";"96,51";"106,02";"121,74";"76,55";"89,33";"97,32";"100,90";"93,31"
"351470 ECHAPORA";"80,80";"110,53";"96,61";"65,99";"77,64";"114,74";"66,65";"110,59";"92,95";"95,71";"87,44"
"351480 ELDORADO";"70,98";"74,93";"67,35";"69,87";"90,03";"79,44";"40,82";"64,85";"64,64";"55,67";"66,56"
"351490 ELIAS FAUSTO";"74,22";"107,59";"89,55";"81,17";"96,51";"129,06";"58,08";"81,02";"100,66";"94,39";"87,54"
"351492 ELISIARIO";"79,30";"82,70";"77,43";"88,41";"120,37";"100,11";"76,90";"71,44";"69,05";"95,54";"85,37"
"351495 EMBAUBA";"71,57";"80,66";"82,46";"86,96";"105,87";"104,73";"92,62";"82,62";"97,56";"111,58";"89,20"
"351500 EMBU DAS ARTES";"75,37";"83,58";"73,99";"70,30";"85,60";"91,88";"82,44";"113,67";"88,72";"53,32";"81,89"
"351510 EMBU-GUACU";"74,87";"84,24";"81,11";"72,02";"86,57";"88,05";"24,92";"45,17";"57,23";"42,93";"63,45"
"351512 EMILIANOPOLIS";"70,22";"90,45";"78,44";"57,14";"127,10";"134,46";"110,29";"89,88";"128,27";"99,70";"94,42"
"351515 ENGENHEIRO COELHO";"67,35";"80,21";"62,79";"67,49";"86,89";"98,83";"66,67";"77,67";"88,67";"88,16";"77,79"
"351518 ESPIRITO SANTO DO PINHAL";"62,76";"76,47";"61,76";"68,45";"94,92";"97,11";"46,22";"78,28";"136,66";"85,86";"76,77"
"351519 ESPIRITO SANTO DO TURVO";"90,59";"84,76";"93,79";"88,65";"81,98";"152,01";"64,09";"84,44";"100,43";"102,69";"91,98"
"351520 ESTRELA D\'OESTE";"65,05";"73,75";"59,66";"123,98";"124,28";"119,27";"57,92";"114,91";"83,69";"61,63";"82,98"
"351530 ESTRELA DO NORTE";"75,61";"81,01";"67,07";"84,84";"134,16";"86,75";"36,62";"23,26";"73,07";"104,69";"77,30"
"351535 EUCLIDES DA CUNHA PAULISTA";"81,17";"86,52";"71,22";"78,33";"120,69";"103,78";"46,12";"47,74";"55,94";"74,87";"76,99"
"351540 FARTURA";"82,37";"93,01";"78,86";"78,78";"117,91";"117,87";"64,22";"81,91";"85,06";"106,75";"88,43"
"351550 FERNANDOPOLIS";"78,94";"98,89";"91,76";"82,11";"105,92";"111,89";"40,68";"73,58";"94,63";"78,72";"82,15"
"351560 FERNANDO PRESTES";"77,65";"72,71";"78,30";"107,91";"78,65";"129,32";"56,51";"76,57";"97,07";"80,15";"82,05"
"351565 FERNAO";"92,69";"186,87";"160,77";"71,57";"121,92";"86,52";"84,58";"93,98";"103,85";"136,13";"103,87"
