"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"120060 TARAUACA";"70,20";"70,32";"59,47";"55,20";"77,43";"89,66";"44,09";"75,49";"59,00";"60,92";"65,30"
"120070 XAPURI";"84,67";"86,94";"81,84";"65,60";"71,48";"104,16";"47,49";"73,29";"68,19";"63,34";"73,45"
"120080 PORTO ACRE";"69,38";"70,89";"54,03";"49,78";"59,17";"50,40";"34,27";"50,82";"60,49";"47,14";"53,82"
"130002 ALVARAES";"69,80";"68,32";"58,42";"56,98";"64,29";"70,78";"51,88";"75,53";"76,50";"80,87";"66,50"
"130006 AMATURA";"71,76";"77,01";"82,95";"86,62";"93,80";"116,87";"66,83";"101,35";"92,23";"102,41";"88,17"
"130008 ANAMA";"78,00";"97,77";"84,84";"72,41";"80,26";"86,31";"31,55";"55,34";"90,86";"103,87";"74,01"
"130010 ANORI";"82,13";"88,36";"74,61";"71,99";"79,03";"83,66";"47,20";"73,38";"69,85";"72,94";"73,39"
"130014 APUI";"87,31";"87,80";"67,63";"75,90";"108,10";"108,09";"55,68";"85,65";"109,35";"109,49";"87,64"
"130020 ATALAIA DO NORTE";"72,74";"64,04";"68,58";"67,20";"80,02";"109,55";"44,05";"57,47";"79,58";"65,12";"69,16"
"130030 AUTAZES";"83,43";"92,27";"84,41";"61,34";"74,08";"89,18";"31,82";"62,48";"88,69";"89,09";"72,56"
"130040 BARCELOS";"49,51";"64,56";"72,33";"77,20";"47,42";"32,01";"32,40";"69,49";"57,60";"53,28";"51,39"
"130050 BARREIRINHA";"66,50";"71,73";"63,08";"60,75";"89,77";"80,57";"48,35";"74,56";"78,11";"44,14";"66,91"
"130060 BENJAMIN CONSTANT";"67,15";"73,26";"84,51";"95,10";"77,06";"112,94";"31,82";"64,75";"87,45";"116,46";"78,03"
"130063 BERURI";"70,92";"69,88";"70,35";"54,43";"65,25";"77,05";"49,53";"65,08";"75,52";"64,17";"65,45"
"130068 BOA VISTA DO RAMOS";"84,18";"79,93";"85,70";"99,50";"98,38";"121,39";"65,63";"72,34";"83,01";"80,45";"86,00"
"130070 BOCA DO ACRE";"61,89";"66,99";"72,13";"59,53";"57,44";"70,99";"36,60";"55,82";"61,63";"53,03";"58,04"
"130080 BORBA";"77,22";"93,59";"82,08";"70,82";"80,98";"120,08";"56,49";"90,85";"91,50";"82,75";"82,15"
"130083 CAAPIRANGA";"64,65";"66,99";"64,73";"55,28";"91,78";"75,16";"38,58";"49,92";"60,23";"56,29";"60,97"
"130090 CANUTAMA";"84,98";"71,38";"65,31";"69,93";"96,49";"118,86";"63,60";"76,83";"73,52";"77,54";"79,64"
"130100 CARAUARI";"66,03";"55,31";"52,55";"61,28";"65,32";"65,72";"27,95";"57,07";"70,96";"79,57";"58,40"
"130110 CAREIRO";"87,03";"100,34";"93,85";"66,73";"61,75";"90,35";"33,47";"85,70";"78,17";"80,97";"72,47"
"130115 CAREIRO DA VARZEA";"104,58";"108,10";"90,48";"96,18";"137,62";"200,23";"39,37";"87,03";"101,96";"105,92";"98,35"
"130120 COARI";"71,38";"67,34";"61,44";"58,42";"63,47";"88,22";"41,38";"56,30";"60,99";"67,50";"62,76"
"130130 CODAJAS";"61,60";"58,04";"63,97";"64,52";"62,62";"88,12";"60,24";"80,30";"85,68";"85,39";"70,25"
"130140 EIRUNEPE";"74,53";"56,09";"62,36";"45,30";"44,19";"70,82";"27,19";"51,40";"65,96";"58,79";"54,18"
